Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
Airoli,1021.65,2,2.0,28,5.0,2.8,,YES,16411688
Ulwe,643.68,2,3.0,11,13.0,7.8,yes,NO,10370490
Belapur,1798.86,4,4.0,12,5.0,14.2,,No,27214214
,1206.22,4,4.0,6,11.0,8.7,Yes,YES,14853591
Ulwe,798.86,2,4.0,18,36.0,5.1,,No,11027943
Kharghar,448.96,2BHK,,6,7.0,5.0,,Yes,5195260
Nerul,1737.02,,,9,18.0,6.2,Yes,,19269176
Nerul,419.38,,3.0,23,25.0,13.6,,Yes,4512510
KHARGHAR ,980.74,1,2.0,33,19.0,6.7,No,Yes,17670913
Belapur,1257.99,3,1.0,6,39.0,15.6,no,YES,24488300
Vashi,725.38,3,1.0,14,19.0,4.7,yes,NO,11018563
Panvel,1328.72,2BHK,2.0,20,36.0,8.3,yes,YES,14210461
Kharghar,1170.32,,2.0,0,24.0,10.7,,Yes,20073861
Airoli,829.67,3,4.0,8,25.0,1.8,No,,11876738
Airoli,1167.13,2,,32,19.0,16.8,Yes,No,11889503
CBD Belapur,548.5,4,2.0,21,39.0,11.1,No,YES,10420091
CBD Belapur,1560.47,2BHK,2.0,,29.0,3.7,yes,Yes,17046971
nerul,1092.17,2,4.0,6,8.0,16.2,No,Yes,14216194
Airoli,1178.41,2,3.0,29,12.0,11.8,yes,Yes,14621186
nerul,604.23,2,3.0,24,34.0,17.5,no,Yes,7561941
Panvel,740.14,1,,29,33.0,11.0,,YES,7598718
KHARGHAR ,786.76,1,4.0,19,11.0,2.0,no,,10348306 INR
Airoli,3448.69,2,3.0,20,15.0,6.0,no,No,₹50284109
Vashi,1132.93,1,3.0,28,25.0,20.6,,No,21612480
Belapur,882.41,4,3.0,15,25.0,2.3,no,NO,15679936
CBD Belapur,983.53,4,3.0,9,1.0,16.5,,,12649800
Airoli,743.83,,3.0,4,39.0,4.4,No,,7822011
Vashi,348.11,,4.0,33,27.0,12.6,yes,Yes,3679048
Panvel,2780.69,2BHK,1.0,27,30.0,3.2,,YES,31195275
Ghansoli,611.47,2BHK,,27,6.0,11.3,no,YES,10121242
 panvel,1555.38,4,4.0,7,36.0,11.8,yes,NO,33663371
Nerul,101.16,2BHK,3.0,34,14.0,7.5,Yes,YES,2206525
Ulwe,1239.65,2,,10,24.0,20.7,No,Yes,15321978
Vashi,805.74,2BHK,1.0,3,16.0,11.2,yes,,9428058
Ghansoli,656.1,1,4.0,27,9.0,6.8,no,YES,11231959
CBD Belapur,1515.67,1,,23,17.0,11.9,no,YES,15997919
,839.59,2BHK,,27,26.0,9.6,no,No,9488590
Kharghar,872.02,2BHK,1.0,6,17.0,5.8,No,NO,14348386
,819.39,1,1.0,,24.0,1.0,Yes,,8839091
nerul,511.51,4,4.0,Ground,36.0,7.6,,No,6747153
Vashi,1373.18,3,,Ground,21.0,8.5,Yes,,20319877
KHARGHAR ,1037.64,2BHK,2.0,4,38.0,8.5,No,Yes,9901985
Vashi,1235.31,4,1.0,9,26.0,1.8,Yes,YES,20235391
Vashi,1044.42,2BHK,,26,25.0,5.7,no,Yes,12603544
Kharghar,644.53,2,4.0,11,35.0,7.5,Yes,No,9142142
Airoli,686.38,,3.0,16,39.0,4.6,Yes,No,6857454
Panvel,1954.62,,2.0,4,5.0,7.8,no,Yes,22523824
Panvel,2083.4,3,2.0,32,2.0,5.7,yes,Yes,25833603
Nerul,179.42,3,2.0,12,39.0,12.6,no,No,3101299
Kharghar,498.77,2BHK,,2,9.0,9.9,,YES,4547261
nerul,1121.27,2BHK,2.0,1,10.0,6.3,yes,No,11122091
Belapur,1080.17,,3.0,12,6.0,2.9,,YES,14998430
KHARGHAR ,644.0,3,1.0,32,24.0,20.2,Yes,Yes,11734700
Airoli,1213.81,2BHK,2.0,31,19.0,18.6,yes,Yes,20884979
Ghansoli,1711.77,1,3.0,15,35.0,4.4,Yes,YES,24546940
 panvel,578.74,1,,16,17.0,8.4,no,No,9015840
Ulwe,910.51,4,2.0,10,24.0,13.0,yes,No,16383211
KHARGHAR ,1681.07,2BHK,4.0,25,35.0,13.5,Yes,Yes,18170145
Airoli,1488.47,3,4.0,33,36.0,1.5,no,NO,20461326
,135.51,4,1.0,5,4.0,8.3,yes,Yes,1291451
CBD Belapur,423.82,1,2.0,29,8.0,15.9,No,YES,7873901
KHARGHAR ,458.39,4,1.0,7,32.0,11.3,No,No,6297912
Nerul,1077.56,1,1.0,5,14.0,9.7,No,,17898476
Ghansoli,939.3,2,,2,25.0,16.7,Yes,No,17619381 INR
Kharghar,708.04,2,,16,2.0,11.0,,Yes,13022649
Belapur,723.05,2BHK,,15,38.0,11.8,no,,11197502
CBD Belapur,575.4,,4.0,2,18.0,4.0,Yes,NO,6377049
 panvel,993.51,2,1.0,1,17.0,1.2,No,,15921135
Belapur,699.03,1,2.0,0,6.0,15.4,No,No,12776701
Airoli,1003.04,1,3.0,12,14.0,18.3,No,NO,18092214
Nerul,2837.13,2,2.0,18,,10.8,,,43956251
Ghansoli,1459.78,2BHK,2.0,0,39.0,7.4,Yes,,24686720
Vashi,1068.96,1,1.0,34,22.0,7.4,Yes,No,13497333
Vashi,829.39,4,1.0,30,21.0,0.9,yes,Yes,13153295
Kharghar,550.62,4,2.0,34,,17.7,Yes,No,6001513
Belapur,1365.02,2,3.0,31,13.0,4.9,No,No,15652185
,711.24,2,4.0,5,27.0,2.0,Yes,,10734957
Panvel,967.11,1,1.0,2,27.0,11.0,,NO,13404516
Ulwe,394.05,4,1.0,23,19.0,7.3,no,No,5470237
Nerul,1182.03,4,,25,12.0,8.5,yes,Yes,19459248
 panvel,727.0,2,3.0,15,27.0,0.2,yes,YES,11633168
Panvel,1952.11,4,1.0,0,19.0,6.1,Yes,No,27151087
nerul,418.33,2,,4,25.0,7.6,yes,,8738722
Kharghar,496.24,4,2.0,3,7.0,15.4,yes,NO,8122461
Panvel,927.81,4,1.0,6,29.0,9.6,No,YES,20037781 INR
Ghansoli,780.04,1,,3,33.0,14.3,yes,Yes,14029231
,1014.95,,1.0,20,12.0,0.6,no,Yes,15263651 INR
Belapur,1184.84,4,2.0,20,5.0,1.2,yes,No,12513789
Belapur,846.14,2BHK,1.0,32,31.0,20.6,Yes,Yes,12066978
,449.84,2BHK,1.0,18,31.0,11.6,No,Yes,5585609
Vashi,1093.17,4,3.0,17,7.0,10.4,No,Yes,21612355
Vashi,629.09,3,4.0,18,28.0,7.0,,NO,10090981
Belapur,4235.61,2BHK,3.0,18,20.0,1.7,No,,62891366
nerul,274.36,4,4.0,23,28.0,12.3,Yes,,3939939
,936.9,1,4.0,5,28.0,4.7,,No,14548914
KHARGHAR ,482.94,4,,27,2.0,8.1,no,,7657954
Airoli,1323.73,1,1.0,3,25.0,0.2,no,NO,16997233
Belapur,1283.44,,2.0,8,19.0,4.4,No,YES,16808074
Ghansoli,1363.02,2,3.0,10,24.0,17.4,yes,NO,25421186
Ulwe,1.9,2BHK,,,4.0,9.5,,,-562178
,1307.97,,1.0,1,22.0,6.2,no,YES,20253814
Ghansoli,1714.57,3,,32,32.0,0.3,No,,23092058
Airoli,-305.41,3,2.0,28,32.0,7.2,no,YES,-4780259
Panvel,1034.84,1,3.0,15,28.0,2.0,No,NO,12958564
Belapur,1197.87,2BHK,1.0,4,35.0,3.8,no,YES,11232466
Vashi,1419.39,2BHK,2.0,14,15.0,10.0,No,YES,24764331
,688.84,2,3.0,Ground,36.0,0.3,no,YES,8693503
Belapur,1093.38,2,4.0,11,27.0,3.6,No,Yes,18535863
 panvel,83.73,2BHK,4.0,15,23.0,11.9,No,YES,2290711
Vashi,983.17,2,,8,3.0,16.9,Yes,No,9835542
,777.67,3,4.0,6,10.0,6.0,,Yes,12991675
 panvel,1548.05,,4.0,Ground,32.0,9.3,Yes,YES,15547679
Ulwe,1424.58,2BHK,,0,26.0,3.3,no,,23569276
 panvel,8084.51,,,0,26.0,4.7,No,No,110840830
Vashi,697.44,1,3.0,11,8.0,8.3,no,YES,7002097
CBD Belapur,865.16,2BHK,4.0,5,37.0,11.3,,No,11520142
Ulwe,1309.25,2BHK,2.0,0,37.0,5.8,no,NO,19797083
Kharghar,699.47,3,4.0,14,11.0,11.0,Yes,No,7685783
Nerul,931.63,,1.0,9,35.0,7.9,no,NO,11593322
Belapur,468.43,4,,14,31.0,9.4,Yes,No,6776487
Kharghar,1096.7,3,4.0,25,2.0,5.7,,YES,12656634
KHARGHAR ,1415.9,2BHK,,13,30.0,3.6,yes,YES,23177388
Vashi,1057.52,4,,34,2.0,4.9,No,No,15645716
nerul,292.72,2BHK,,14,39.0,3.8,No,No,5137252
Panvel,1220.64,4,4.0,4,22.0,4.8,No,,18005525
Airoli,582.15,,,25,15.0,1.7,No,Yes,8515817
Ulwe,659.89,2BHK,3.0,18,35.0,9.4,yes,NO,7653096
Ghansoli,1052.8,2,,31,37.0,0.1,No,YES,16966460
,1196.57,2BHK,1.0,0,12.0,10.6,No,Yes,16099648 INR
Airoli,1842.6,2BHK,1.0,16,18.0,0.1,yes,YES,18372861
nerul,1604.03,3,3.0,10,8.0,15.9,yes,YES,23164298
Vashi,1156.67,1,2.0,2,21.0,3.2,yes,,21744586
CBD Belapur,1043.51,2,3.0,5,3.0,1.3,No,,19654020
CBD Belapur,534.15,3,2.0,2,9.0,7.9,No,,6145343
Ulwe,-262.48,3,1.0,30,5.0,11.1,Yes,YES,-4417431
Belapur,961.39,2,3.0,10,39.0,8.1,yes,,14207840
Vashi,1085.74,2,3.0,21,35.0,5.9,No,YES,14318239
Panvel,1668.35,,,5,34.0,4.3,no,,28166003
Airoli,897.71,2,1.0,20,9.0,14.6,No,Yes,13303891
Kharghar,1437.39,2,,23,37.0,5.9,yes,NO,23128404
Belapur,277.64,4,3.0,30,1.0,5.0,Yes,Yes,6403457
 panvel,937.52,2BHK,3.0,28,9.0,8.1,yes,YES,13856282
CBD Belapur,543.39,2BHK,1.0,8,4.0,6.0,No,,6487465
,398.97,2,1.0,19,21.0,18.2,no,YES,4740331
Belapur,586.95,1,,,5.0,6.3,Yes,NO,7689898
Panvel,139.94,3,4.0,17,27.0,9.1,yes,Yes,2377916
Ghansoli,782.98,1,4.0,3,14.0,1.1,Yes,,13588388 INR
Airoli,690.32,2,1.0,2,27.0,10.9,,Yes,12770692
,1158.68,3,2.0,30,36.0,8.1,,No,14495427
Nerul,1439.12,3,,7,36.0,14.0,,Yes,15849667
Panvel,4634.19,4,2.0,26,14.0,12.9,no,,51815149
KHARGHAR ,2018.09,,4.0,8,6.0,8.4,No,NO,23067130
,1209.58,3,3.0,13,26.0,17.8,No,NO,13813883
Belapur,575.36,2,2.0,19,33.0,14.6,yes,Yes,6465599
Belapur,1260.49,1,4.0,5,,5.1,,No,17262607
nerul,1342.34,2BHK,2.0,13,9.0,3.5,,,17719038
Ulwe,1151.83,2,2.0,Ground,21.0,11.8,Yes,Yes,15708630
Kharghar,878.83,1,4.0,0,30.0,2.5,Yes,YES,14340446
KHARGHAR ,908.48,2,4.0,21,15.0,0.9,yes,,16893129
Airoli,1224.42,1,3.0,20,27.0,2.4,No,No,17354868
,986.99,4,,12,25.0,11.8,no,NO,12576831
Vashi,1371.76,2,4.0,27,21.0,2.1,yes,No,22560518
Belapur,140.02,2,3.0,1,18.0,6.4,,,1372291
Airoli,618.84,3,4.0,16,30.0,6.2,yes,No,11482040
KHARGHAR ,1191.52,2,3.0,19,25.0,5.6,no,Yes,15691206
KHARGHAR ,975.29,1,2.0,,12.0,6.3,yes,YES,13202615
Kharghar,387.34,2BHK,3.0,12,11.0,2.5,no,,5316786
Airoli,1229.03,,4.0,20,30.0,3.0,no,,12448036
Airoli,1749.7,4,,6,34.0,14.8,Yes,YES,20496518
Belapur,39.43,1,4.0,8,18.0,6.8,yes,NO,1262787
 panvel,818.56,3,1.0,8,9.0,14.9,Yes,No,11252467 INR
Vashi,1395.05,,3.0,6,9.0,7.6,Yes,No,13586188
Vashi,1771.53,3,4.0,29,36.0,3.1,,YES,22846589
Nerul,1724.13,4,2.0,4,1.0,16.4,yes,No,28643735
Ulwe,818.77,2BHK,2.0,2,24.0,13.8,No,Yes,8325569
Airoli,1442.18,3,,9,37.0,11.2,yes,No,19998092
Kharghar,1033.55,2,,34,17.0,3.8,,NO,15935413
Vashi,300.49,2,3.0,16,26.0,2.0,no,No,4491682
Panvel,1812.3,3,3.0,28,10.0,1.2,Yes,,28426983
CBD Belapur,697.99,3,1.0,29,3.0,12.4,No,YES,7147122
,454.47,1,3.0,26,25.0,15.2,,No,6638668
Panvel,908.63,,2.0,0,8.0,0.6,Yes,NO,12005278
Vashi,415.29,3,3.0,31,18.0,7.0,No,No,7147217
Panvel,521.64,2BHK,,20,30.0,10.9,no,NO,9047974
Ghansoli,1432.33,,3.0,6,27.0,2.4,no,Yes,21778004
Kharghar,939.77,2BHK,4.0,22,21.0,2.6,,YES,11029923
,992.89,1,3.0,2,15.0,5.0,No,NO,18112371
nerul,1388.97,2,1.0,1,11.0,12.0,,Yes,20392595
Belapur,892.54,4,1.0,30,34.0,7.0,Yes,,19382457
nerul,1328.15,,1.0,10,20.0,15.6,Yes,,₹15299529
Airoli,629.27,1,1.0,29,,16.3,,Yes,10000083
Belapur,1029.8,2BHK,1.0,15,24.0,20.0,,,11933625
Airoli,503.14,4,4.0,27,35.0,1.9,No,No,10699137
,1233.03,,4.0,8,32.0,5.8,Yes,NO,18195772
CBD Belapur,971.74,2,4.0,Ground,10.0,21.7,no,No,16516603
Belapur,1020.11,4,1.0,34,37.0,0.0,No,YES,17885665
Nerul,925.26,2BHK,2.0,30,32.0,13.1,Yes,Yes,12779946
KHARGHAR ,1167.08,2,1.0,31,6.0,1.8,Yes,Yes,22026566
Airoli,602.62,4,,0,37.0,3.9,no,No,11533528
Ulwe,847.9,1,4.0,5,9.0,9.5,yes,YES,8460770
Belapur,583.47,,2.0,34,14.0,3.0,Yes,YES,10696485
nerul,72.25,1,4.0,12,6.0,17.6,,NO,1449768
Airoli,713.01,4,3.0,28,12.0,7.8,,No,13140728
Airoli,1370.88,1,4.0,10,14.0,8.6,No,YES,24638015
nerul,1213.86,4,3.0,3,34.0,14.5,Yes,No,19263591
KHARGHAR ,407.61,3,3.0,Ground,24.0,1.9,,NO,7707855
Belapur,1004.23,3,4.0,12,4.0,12.4,no,NO,17200697
Ulwe,1557.71,1,,24,6.0,11.1,Yes,NO,26956671
,1107.11,3,,8,4.0,1.5,Yes,No,19009044
CBD Belapur,897.15,1,2.0,16,5.0,4.9,No,Yes,11426212
Kharghar,167.06,2,2.0,26,8.0,4.0,,,2583704
Ghansoli,816.06,3,,23,10.0,19.9,No,,12095223
Airoli,1017.88,1,1.0,6,30.0,3.8,Yes,Yes,15702368
Ghansoli,1109.26,,,7,39.0,7.7,,Yes,12014217
Panvel,1150.33,,3.0,16,2.0,2.7,yes,,16788503
Panvel,269.6,,2.0,25,16.0,5.6,,YES,4121862
Panvel,1156.51,2BHK,2.0,4,16.0,0.2,no,YES,15387424
KHARGHAR ,1632.93,1,,18,23.0,3.4,,,21108639
 panvel,992.98,1,1.0,3,9.0,10.3,no,No,12044792
KHARGHAR ,916.49,2,4.0,11,,21.5,yes,No,₹16777582
Nerul,919.68,2BHK,2.0,8,31.0,13.8,,No,13320655
,1227.48,3,3.0,24,3.0,17.5,yes,No,17104189
Panvel,956.32,2,4.0,6,10.0,7.5,,NO,14627866
Panvel,658.13,2BHK,,10,27.0,1.9,No,YES,5835196
CBD Belapur,904.08,3,4.0,10,12.0,11.4,no,YES,₹13724075
 panvel,1348.82,2BHK,3.0,3,10.0,14.8,no,YES,15975419
Panvel,1126.85,3,1.0,26,4.0,9.5,no,,18169020
KHARGHAR ,564.5,,,32,31.0,23.5,no,Yes,8765421
Vashi,947.84,1,4.0,9,4.0,14.2,Yes,No,12617269
Airoli,768.3,,2.0,3,26.0,7.9,yes,No,8579568
,1511.98,2BHK,4.0,25,39.0,5.1,yes,No,20257225
KHARGHAR ,1614.44,1,4.0,30,4.0,16.5,no,NO,20988776
Nerul,1221.49,2BHK,,15,6.0,2.4,yes,No,11710488
Belapur,1373.0,3,1.0,6,33.0,10.2,No,No,15577033
CBD Belapur,1052.78,2,3.0,4,17.0,8.7,Yes,NO,14461791
 panvel,1218.68,3,1.0,14,5.0,4.6,yes,No,19701814
Ulwe,828.9,2,4.0,11,36.0,10.1,,YES,9604957
 panvel,337.39,2BHK,2.0,11,2.0,14.9,no,Yes,4968386
Vashi,730.73,3,2.0,4,15.0,7.2,Yes,No,11433181 INR
Nerul,1866.76,4,4.0,,15.0,19.2,yes,,34131825
Ghansoli,422.3,1,3.0,22,29.0,6.8,no,,7357667
,705.99,2BHK,4.0,24,15.0,12.1,no,YES,6292317
CBD Belapur,866.97,4,3.0,19,34.0,15.9,yes,No,13072748
Vashi,415.29,3,3.0,31,18.0,7.0,No,No,7147217
Ghansoli,1196.8,3,4.0,9,19.0,12.1,No,No,₹19469068
Nerul,1152.46,,,12,9.0,1.7,No,,17149124
CBD Belapur,1199.65,2,3.0,12,28.0,11.8,Yes,,12610152
KHARGHAR ,1235.08,1,1.0,30,18.0,3.3,,YES,22063098
KHARGHAR ,796.08,3,4.0,32,25.0,9.7,No,Yes,13561257
CBD Belapur,255.79,2BHK,2.0,28,36.0,15.3,Yes,,2525332 INR
Belapur,817.69,3,1.0,9,16.0,4.9,No,,₹16255538
nerul,1011.53,4,1.0,34,20.0,12.6,no,,16412597
CBD Belapur,667.33,2,1.0,18,11.0,12.3,,,6264605
CBD Belapur,1225.88,1,1.0,4,5.0,5.0,,YES,13893062 INR
Vashi,697.66,2,1.0,2,17.0,10.6,,NO,9568495
Nerul,947.15,,2.0,0,28.0,9.1,Yes,NO,13073207
KHARGHAR ,899.55,1,,5,9.0,13.8,,YES,12518477
Airoli,928.7,,1.0,21,29.0,2.1,Yes,,12422844
Panvel,1197.88,3,2.0,24,15.0,4.8,yes,NO,₹20795194
,1794.53,4,4.0,28,2.0,12.1,Yes,YES,26899392
Ulwe,947.52,2BHK,2.0,4,30.0,10.4,yes,NO,11331173 INR
Ghansoli,521.58,2BHK,1.0,0,20.0,2.3,Yes,,9017111
Ulwe,1040.14,4,1.0,8,8.0,4.8,Yes,Yes,20693934
Vashi,1081.8,4,4.0,31,8.0,1.1,No,No,14085805
nerul,840.94,2,3.0,8,21.0,20.1,Yes,NO,16511752
Ghansoli,594.74,4,,33,19.0,6.2,,Yes,9048559
Vashi,66.9,2BHK,,7,6.0,6.7,no,No,-313761
Nerul,778.37,4,2.0,11,13.0,6.5,,NO,11832184
Belapur,638.53,4,3.0,31,5.0,19.1,Yes,NO,9864072
Panvel,232.43,,1.0,29,25.0,4.6,yes,No,1840185
 panvel,342.33,4,3.0,2,26.0,8.0,Yes,,5574371
CBD Belapur,470.06,1,1.0,6,36.0,6.2,Yes,,7590807
,1191.48,,1.0,28,28.0,8.6,no,No,10426387
KHARGHAR ,1038.23,4,3.0,23,33.0,8.5,no,NO,20702980
 panvel,752.74,3,,10,28.0,14.3,No,Yes,9104919
Ulwe,876.74,2,2.0,32,6.0,5.9,no,NO,11968446
Belapur,247.8,2BHK,4.0,13,12.0,10.7,No,YES,4716255
,538.93,4,4.0,1,31.0,15.6,Yes,YES,9183983
nerul,980.99,3,,1,19.0,17.1,no,Yes,17000072
Belapur,1771.8,2BHK,4.0,7,29.0,2.4,No,,16392363
 panvel,858.56,3,4.0,34,6.0,2.0,No,No,13655228
Airoli,487.22,4,1.0,12,33.0,9.9,Yes,NO,5883673
Vashi,822.74,,4.0,26,33.0,11.6,no,,11571300 INR
Ghansoli,565.95,1,1.0,25,14.0,8.9,No,Yes,8575613
CBD Belapur,961.7,,1.0,14,14.0,6.4,No,No,14634228
Nerul,1303.24,2BHK,4.0,,27.0,7.5,,YES,17561010
nerul,901.03,2BHK,2.0,21,21.0,2.5,No,,12894406
Belapur,620.59,2,1.0,31,21.0,7.8,No,,9125178
Vashi,573.15,1,,10,39.0,1.3,Yes,No,10375304
Panvel,687.22,,,0,30.0,5.7,no,NO,6323513
,677.58,,,19,21.0,14.0,,Yes,9616752 INR
Ghansoli,1427.32,,4.0,1,14.0,2.0,,No,₹14898048
KHARGHAR ,645.03,2,,27,22.0,3.4,Yes,,7460324
Panvel,972.29,2BHK,,33,28.0,14.6,Yes,YES,13630587
Vashi,4756.75,,,2,28.0,10.0,,NO,66069798
 panvel,973.88,2,1.0,7,35.0,8.6,Yes,YES,17643264
Ulwe,948.9,4,,14,20.0,8.1,Yes,YES,19454550
Kharghar,1150.37,1,1.0,17,29.0,2.1,no,NO,21995843
Nerul,976.01,3,3.0,23,39.0,12.9,Yes,NO,15362826 INR
Vashi,1326.47,4,1.0,8,,9.2,yes,No,22643845
Ghansoli,1096.91,1,2.0,10,33.0,19.0,No,NO,10423907
Ghansoli,1619.03,2,2.0,18,17.0,10.5,yes,NO,23533099
Ghansoli,615.1,,1.0,25,9.0,4.4,No,Yes,9837310
Kharghar,1276.92,2BHK,1.0,32,33.0,13.7,Yes,NO,16974038 INR
Ghansoli,733.41,1,4.0,24,18.0,7.4,No,Yes,12215742
Kharghar,759.51,4,3.0,9,9.0,13.2,yes,YES,14594325
 panvel,1636.36,2,1.0,5,1.0,7.4,no,No,30987241
Vashi,1229.48,2BHK,4.0,22,17.0,8.2,Yes,,13180090
,696.29,,2.0,14,4.0,6.6,No,NO,11346606
Ghansoli,2197.07,3,1.0,6,26.0,7.9,yes,,26024688
Airoli,960.15,,4.0,23,16.0,3.7,no,NO,16215457
Kharghar,447.96,2,3.0,29,32.0,5.9,,NO,8636409
Ulwe,859.68,2,1.0,30,23.0,16.6,Yes,,12209499
Kharghar,1714.8,4,2.0,1,38.0,15.0,No,YES,28035990
 panvel,1463.62,4,2.0,31,4.0,13.2,yes,Yes,18685421
,1015.8,4,4.0,16,10.0,6.6,no,,17296371
Panvel,1020.22,3,2.0,29,4.0,10.5,,NO,11812385
KHARGHAR ,1148.69,,3.0,15,15.0,7.2,No,Yes,17349709
Airoli,875.3,1,,25,11.0,6.0,,No,13849103
Kharghar,967.63,2,2.0,9,39.0,3.0,no,YES,14953121
CBD Belapur,924.09,3,,14,15.0,8.6,No,NO,11745112
Vashi,1370.64,2BHK,2.0,20,39.0,2.9,no,,18700624
nerul,15.23,4,1.0,2,2.0,2.0,,YES,-77725
,1297.38,1,2.0,11,10.0,19.6,no,NO,19028875
Ulwe,1806.55,2BHK,2.0,4,3.0,3.5,No,NO,19994513
Ghansoli,1040.02,1,1.0,7,34.0,8.4,yes,YES,13174967
CBD Belapur,979.33,2BHK,3.0,7,,13.8,Yes,YES,14574302
CBD Belapur,1664.7,4,2.0,24,,6.4,Yes,No,27621352
Belapur,1542.67,2BHK,1.0,6,14.0,19.8,,NO,23564861
Panvel,977.01,1,2.0,6,25.0,0.5,yes,NO,14763486
Ghansoli,94.4,,1.0,24,8.0,6.8,No,NO,1514137
Kharghar,939.86,1,4.0,15,15.0,4.5,Yes,YES,13674751
Ulwe,1082.28,3,3.0,24,24.0,2.2,Yes,No,16316882
Vashi,438.79,,1.0,29,23.0,1.9,Yes,,6199905
Airoli,1207.72,4,,2,1.0,8.9,No,YES,15703121
 panvel,1730.34,3,1.0,10,12.0,9.6,yes,NO,22806689 INR
Vashi,644.7,2BHK,1.0,0,14.0,2.8,yes,No,8518248
Vashi,1117.3,3,2.0,,21.0,10.4,,,17528005
CBD Belapur,854.45,2BHK,4.0,25,32.0,3.0,Yes,NO,10996824
Nerul,530.7,3,,7,2.0,6.6,No,Yes,8625264
Kharghar,846.73,4,4.0,1,3.0,11.1,no,NO,17826866
nerul,848.02,4,1.0,22,29.0,9.5,no,,18309998 INR
Belapur,1816.0,2BHK,,25,3.0,16.7,no,YES,28570523 INR
Kharghar,1111.06,3,,27,31.0,5.2,No,YES,20135330
Ghansoli,1019.01,2BHK,1.0,30,33.0,11.1,No,NO,17886791
KHARGHAR ,1832.59,1,1.0,13,28.0,8.5,yes,Yes,₹26022645
KHARGHAR ,125.13,2,2.0,29,1.0,1.3,Yes,YES,2387440
Airoli,1049.75,4,3.0,25,30.0,7.9,no,NO,20075630
CBD Belapur,536.51,2BHK,,28,23.0,6.4,No,YES,7241877
CBD Belapur,861.63,4,3.0,15,14.0,9.1,,YES,17267180
Belapur,1359.01,4,1.0,18,22.0,0.4,Yes,NO,14116021
Belapur,544.67,,4.0,7,19.0,12.2,no,No,8244364
Ulwe,1350.05,,4.0,2,4.0,22.6,,No,19976846
Ulwe,700.94,2BHK,4.0,9,39.0,9.2,Yes,No,7693488
Kharghar,714.17,,,18,5.0,0.2,No,NO,9006164
,1321.9,1,4.0,33,19.0,5.4,No,NO,14654309
Panvel,1396.96,,1.0,34,38.0,16.7,yes,,15834661
Kharghar,721.7,2BHK,3.0,7,19.0,3.0,yes,,12030113
Panvel,1167.44,2BHK,,,15.0,5.8,no,YES,14068552
Kharghar,773.9,2BHK,1.0,10,24.0,15.7,no,YES,11597211
Panvel,937.84,1,,24,4.0,13.6,yes,NO,12178069
Airoli,1112.82,,1.0,Ground,34.0,2.2,Yes,YES,17382330
 panvel,843.34,2BHK,,10,25.0,5.4,,NO,₹14881260
nerul,1295.24,1,3.0,28,28.0,0.6,yes,Yes,20549134
nerul,1000.73,3,1.0,,14.0,5.8,no,YES,11566212
Airoli,636.1,4,,5,14.0,5.8,no,NO,12403740
KHARGHAR ,379.55,4,3.0,17,13.0,9.7,,YES,4910119
Ghansoli,957.53,2,1.0,22,21.0,1.0,No,Yes,10130908
 panvel,1165.37,4,3.0,,18.0,12.3,,Yes,14133629
Nerul,1102.15,2BHK,,16,32.0,6.9,Yes,No,18988005
Panvel,1418.66,3,,5,8.0,5.8,No,No,17260353
Ghansoli,1219.71,,4.0,24,22.0,7.3,No,NO,13148185
Nerul,917.63,4,3.0,1,9.0,7.3,Yes,Yes,₹11774141
KHARGHAR ,347.88,4,3.0,11,2.0,10.5,yes,NO,5694908
Ulwe,472.18,,4.0,11,12.0,3.0,yes,NO,7131081
,1278.39,2,4.0,11,11.0,8.7,Yes,NO,18343743
,854.2,2,1.0,25,28.0,10.5,no,,12578675
Panvel,1369.6,1,3.0,Ground,37.0,3.8,yes,NO,19878567
Panvel,1199.32,4,4.0,11,38.0,5.0,no,Yes,14084642
Ghansoli,656.18,2,1.0,17,,14.1,yes,Yes,10208674
nerul,1010.66,,1.0,7,4.0,1.9,,,13070197
Panvel,1592.14,2,1.0,12,2.0,15.3,Yes,,17027840
nerul,478.43,3,1.0,12,5.0,6.7,No,,9257661
Ghansoli,1357.06,,3.0,21,18.0,9.6,yes,Yes,23669135
CBD Belapur,699.77,3,,6,29.0,11.5,No,,10122112
,1619.58,4,,8,13.0,8.2,yes,YES,20347822
Vashi,633.99,,4.0,8,2.0,4.2,,Yes,7079739
Nerul,1587.27,1,3.0,6,22.0,4.9,No,No,₹29015013
KHARGHAR ,610.06,4,2.0,5,20.0,13.0,,NO,6381565
Nerul,1522.15,2BHK,1.0,6,31.0,6.6,Yes,NO,24592384
Ulwe,-62.9,4,3.0,12,1.0,12.1,No,NO,-1072876
Panvel,1494.05,2BHK,2.0,8,22.0,0.5,Yes,Yes,16221078
nerul,1167.4,2BHK,,12,37.0,14.5,,No,16205759
,1501.67,3,,31,30.0,7.5,no,,₹30315636
Airoli,554.99,2BHK,3.0,5,10.0,12.4,Yes,,9565459
Airoli,842.24,3,2.0,16,31.0,12.3,yes,YES,12954325
Nerul,1023.54,1,2.0,33,7.0,4.1,Yes,No,16369579
Ulwe,1262.81,,3.0,28,16.0,2.5,Yes,No,15213401
Ghansoli,705.45,4,1.0,18,8.0,7.4,No,Yes,11883407 INR
